Year,CHIRPS_Precipitation,Region
2017,1995.6292244195938,Hau Giang
2018,1687.8775756955147,Hau Giang
2019,1760.0761693236418,Hau Giang
2020,2113.378131389618,Hau Giang
2021,2160.4751522541046,Hau Giang
2022,2271.598001241684,Hau Giang
2023,2057.906000137329,Hau Giang
2024,2189.9590282153804,Hau Giang
2000,839.2080355882645,Manabi
2001,1191.3280613422394,Manabi
2002,1269.0899323225021,Manabi
2003,689.8381555080414,Manabi
2004,646.8322849273682,Manabi
2005,760.6098957061768,Manabi
2006,1059.9844900369644,Manabi
2007,910.2518030405045,Manabi
2008,1207.7569329738617,Manabi
2009,726.8982660770416,Manabi
2010,1076.2799072265625,Manabi
2011,1063.777660369873,Manabi
2012,1710.689315021038,Manabi
2013,1553.1611371040344,Manabi
2014,1100.5031058192253,Manabi
2015,1211.0941883325577,Manabi
2016,1336.490155696869,Manabi
2017,2109.6180909872055,Manabi
2018,853.5642056241632,Manabi
2019,1209.3058064579964,Manabi
2020,1126.1480851322412,Manabi
2021,1541.1004396677017,Manabi
2022,1177.2094898223877,Manabi
2023,2562.125953167677,Manabi
2024,1401.030785933137,Manabi
2000,488.3475245833397,Ghanzi
2001,458.1713215112686,Ghanzi
2002,289.36712741851807,Ghanzi
2003,276.6280791759491,Ghanzi
2004,314.8554670214653,Ghanzi
2005,361.08592039346695,Ghanzi
2006,684.8838204145432,Ghanzi
2007,334.0697630047798,Ghanzi
2008,342.35161162912846,Ghanzi
2009,579.866947978735,Ghanzi
2010,607.9534826278687,Ghanzi
2011,493.13443899154663,Ghanzi
2012,287.6409157514572,Ghanzi
2013,228.9487363100052,Ghanzi
2014,503.5325650572777,Ghanzi
2015,237.24188148975372,Ghanzi
2016,397.55790370702744,Ghanzi
2017,575.9340385049582,Ghanzi
2018,290.3252271826398,Ghanzi
2019,211.02654799935408,Ghanzi
2020,405.1026665631134,Ghanzi
2021,649.764169216156,Ghanzi
2022,360.7603686079383,Ghanzi
2023,191.8306092619896,Ghanzi
2024,225.32658389853475,Ghanzi
2000,1124.2991120815277,Boyaca
2001,1011.3481339216232,Boyaca
2002,1045.4450261592865,Boyaca
2003,1164.3068952560425,Boyaca
2004,1227.7805378437042,Boyaca
2005,1137.9937407970428,Boyaca
2006,1243.5408625602722,Boyaca
2007,1064.2310552597046,Boyaca
2008,1173.2150182724,Boyaca
2009,1039.3308291435242,Boyaca
2010,1527.352014541626,Boyaca
2011,1531.4671531915665,Boyaca
2012,1260.9646384716034,Boyaca
2013,1021.8429009914398,Boyaca
2014,981.3402745723724,Boyaca
2015,1211.671015739441,Boyaca
